brand,title,rating,totalReviews,price,originalPrice
Samsung,"Samsung Galaxy Note 5, N920P 64GB - Gold Platinum (Sprint)",3.9,6,429.99,0.0
Samsung,Samsung Galaxy S7 - Black - 32GB - Verizon (Renewed),3.8,600,148.96,0.0
Apple,"Apple iPhone 6S, 16GB, Gold - For AT&T (Renewed)",3.7,46,150.0,0.0
Apple,"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",3.6,4,209.94,0.0
Google,"Google Pixel, 5"" 32GB (Verizon Wireless) - Black",3.0,26,0.0,0.0
Samsung,Samsung Galaxy Note 4 N910P 32GB Frosted White - Sprint (Renewed),3.2,10,149.99,0.0
Apple,"Apple iPhone 6S, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",4.6,3,199.99,0.0
Samsung,Samsung TWSAS120VCP-3 Galaxy J1 Luna 4G LTE Total Wireless Prepaid Smartphone,3.7,8,65.23,0.0
Samsung,"Samsung Galaxy S7 Edge, 5.5"" 32GB (Verizon Wireless) - Blue",3.7,181,0.0,0.0
Samsung,Samsung Galaxy S7 Edge G935V 32GB Gold - Verizon (Renewed),3.8,606,219.97,0.0
Apple,"Apple iPhone 7, 128GB, Gold - For AT&T / T-Mobile (Renewed)",3.5,227,215.0,399.99
Samsung,Samsung Galaxy S7 Edge G935A 32GB Gold - Unlocked GSM (Renewed),4.0,308,207.99,0.0
Samsung,Samsung Galaxy Note 5 32GB N920P Gold Platinum - Sprint (Certified Refurbished),3.3,69,209.0,228.99
Samsung,Samsung Galaxy Note 5 32GB GSM Unlocked - Black (Renewed) (D132),3.2,301,163.99,0.0
Samsung,Samsung Galaxy S7 Edge G935P 32GB Black - Sprint (Renewed),3.6,60,199.72,0.0
Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM (Black Sapphire) (Renewed),3.2,31,153.97,249.99
Samsung,Samsung Galaxy S6 Edge G925P 32GB White Pearl - Sprint (Certified Refurbished),5.0,2,129.95,0.0
Sony,Sony Xperia XA1 G3123 32GB Unlocked GSM LTE Octa-Core Phone w/ 23MP Camera - White,3.0,232,249.99,0.0
